B.S:2080-1-10A.D:2023-04-23,Local:13:12 UTC:07:27,29.38,81.34,4.1,NEMRC/SC/DMG,Bajura
B.S:2079-12-12A.D:2023-03-26,Local:22:27 UTC:16:42,29.42,81.66,4.3,NEMRC/SC/DMG,Bajura
B.S:2079-11-10A.D:2023-02-22,Local:13:45 UTC:08:00,29.68,81.67,5.2,NEMRC/SC,Bajura
B.S:2079-10-18A.D:2023-02-01,Local:11:44 UTC:05:59,29.71,81.62,4,SC/NEMRC,Bajura
B.S:2079-10-12A.D:2023-01-25,Local:01:07 UTC:19:22,29.64,81.68,4.1,NEMRC/SC,Bajura
B.S:2079-10-10A.D:2023-01-24,Local:14:43 UTC:08:58,29.75,81.7,5.9,NEMRC/SC/DMG,Bajura
B.S:2079-7-24A.D:2022-11-09,Local:05:13 UTC:23:28,29.35,81.29,4.1,NEMRC/SC/DMG,Bajura
B.S:2079-4-2A.D:2022-07-17,Local:04:31 UTC:22:46,29.41,81.34,4.1,NEMRC/SC,Bajura
B.S:2076-10-14A.D:2020-01-28,Local:07:59 UTC:02:14,29.61,81.71,4.2,NSC/RSC,Bajura
B.S:2076-9-28A.D:2020-01-12,Local:02:07 UTC:20:22,29.59,81.73,4.2,NSC/RSC,Bajura
B.S:2076-9-27A.D:2020-01-12,Local:20:19 UTC:14:34,29.58,81.71,4.5,NSC/RSC,Bajura
B.S:2075-3-29A.D:2018-07-13,Local:08:58 UTC:03:13,29.57,81.56,4.1,RSC/NSC,Bajura
B.S:2075-2-22A.D:2018-06-05,Local:07:19 UTC:01:34,29.68,81.65,4.9,RSC/NSC ,Bajura
B.S:2073-9-19A.D:2017-01-03,Local:12:26 UTC:06:41,29.71,81.57,4,RSC/NSC,Bajura
B.S:2073-5-11A.D:2016-08-27,Local:17:48 UTC:12:03,29.81,81.56,4,RSC/NSC,Bajura
B.S:2072-9-11A.D:2015-12-26,Local:10:33 UTC:04:48,29.35,81.29,4.1,NSC,Bajura
B.S:2072-9-3A.D:2015-12-18,Local:16:01 UTC:10:16,29.44,81.69,5.5,NSC/RSC,Bajura
B.S:2072-3-22A.D:2015-07-07,Local:15:16 UTC:09:31,29.69,81.74,4.6,RSC,Bajura
