date,time,latitude,longitude,magnitude,remarks,epicenter
2022-01-21,06:43,27.98,85.58,4.1,NEMRC,sindhupalchok
2022-01-06,00:14,28.68,82.97,4.2,NEMRC/SC,rukum east
2022-01-05,16:16,27.67,86.32,4.2,NEMRC,dolakha
2021-11-09,14:28,27.87,85.92,4.1,NEMRC,sindhupalchok
2021-10-25,20:30,28.29,84.36,4.1,NEMRC,lamjung
2021-10-18,15:23,27.86,85.82,4.0,NEMRC,sindhupalchok
2021-10-18,15:20,27.85,85.81,4.1,NEMRC,sindhupalchok
2021-10-18,13:56,27.92,85.81,4.7,NEMRC,sindhupalchok
2021-10-18,13:46,27.92,85.8,4.7,NEMRC,sindhupalchok
2021-10-16,04:09,28.18,84.93,4.3,NEMRC,gorkha
2021-10-02,20:13,27.91,85.81,4.1,NEMRC,sindhupalchowk
2021-10-02,19:58,27.92,85.81,4.6,NEMRC,sindhupalchowk
2021-10-01,12:54,27.71,85.92,4.2,NEMRC,sindhupalchowk
2021-09-25,12:12,27.91,85.8,4.5,NEMRC,sindhupalchowk
2021-09-20,16:30,29.89,80.59,4.2,NEMRC/SC,"kharra, darchula"
2021-09-12,20:41,27.64,86.1,4.3,NEMRC,dolakha
2021-08-23,02:23,29.61,81.01,4.0,NEMRC/SC,bajhang
2021-08-12,09:54,26.98,86.69,4.3,NEMRC,udayapur
2021-07-23,18:57,27.28,86.9,4.2,NEMRC,khotang
2021-07-18,20:59,28.98,81.47,4.3,NEMRC/SC,dailekh
2021-07-07,15:57,28.13,84.56,4.2,NEMRC,lamjung
2021-07-02,22:02,29.79,81.59,4.1,NEMRC/SC,bajhang/bajura
2021-06-29,14:20,27.3,87.26,4.0,NEMRC,sankhuwasabha
2021-05-19,22:39,28.24,84.41,4.5,NEMRC,lamjung
2021-05-19,21:23,28.27,84.42,4.0,NEMRC,lamjung
2021-05-19,08:26,28.27,84.4,5.3,NEMRC,lamjung
2021-05-19,08:17,28.26,84.36,4.1,NEMRC,lamjung
2021-05-19,08:16,28.26,84.35,4.0,NEMRC,lamjung
2021-05-18,05:42,28.28,84.39,5.8,NEMRC,lamjung
